Exchange,Base,Quote,Maker,Taker
kraken,DASH,XBT,0.0016,0.0026
kraken,EOS,ETH,0.0016,0.0026
kraken,EOS,XBT,0.0016,0.0026
kraken,GNO,ETH,0.0016,0.0026
kraken,GNO,XBT,0.0016,0.0026
kraken,ETC,ETH,0.0016,0.0026
kraken,ETC,XBT,0.0016,0.0026
kraken,ETH,XBT,0.0016,0.0026
kraken,ICN,ETH,0.0016,0.0026
kraken,ICN,XBT,0.0016,0.0026
kraken,LTC,XBT,0.0016,0.0026
kraken,MLN,ETH,0.0016,0.0026
kraken,MLN,XBT,0.0016,0.0026
kraken,REP,ETH,0.0016,0.0026
kraken,REP,XBT,0.0016,0.0026
kraken,XDG,XBT,0.0016,0.0026
kraken,XLM,XBT,0.0016,0.0026
kraken,XMR,XBT,0.0016,0.0026
kraken,XRP,XBT,0.0016,0.0026
kraken,ZEC,XBT,0.0016,0.0026
